filename,cpu_time,gpu_time,paper_words,summary_words,paper_tokens,summary_tokens
9483920.pdf,1094.5406839847565,113.5828022956848,3792,758,6057,1032
9490211.pdf,2670.3173768520355,165.3306016921997,11775,2310,16994,3096
9494351.pdf,2532.0669770240784,132.77812957763672,11628,2150,15622,2838
9507422.pdf,994.6021678447725,91.64634156227112,4652,950,7115,1290
9509431.pdf,1142.0333921909332,489.047397851944,6951,1266,9485,1677
9528391.pdf,1253.9255585670471,116.50003457069396,7808,1498,11216,2064
9536694.pdf,1616.211591005325,149.66158652305603,11115,2235,16148,2967
9539169.pdf,1391.389261007309,136.6489977836609,8091,1523,12309,2193
9592800.pdf,1227.436143875122,83.86458802223206,7576,1428,10136,1806
9623462.pdf,3355.153664588928,248.75792026519773,20119,4469,31088,5934
9648168.pdf,1523.402370929718,117.39720225334167,9971,2046,13686,2580
9654190.pdf,1160.461262702942,128.35361766815186,6333,1294,9200,1677
9664379.pdf,1528.2387268543243,105.1213161945343,5417,1043,8215,1419
9709290.pdf,1345.495909690857,96.18439602851868,4815,915,6971,1161
9745150.pdf,1690.222828388214,163.62736988067627,6279,1314,9537,1677
9745159.pdf,3265.32504105568,137.124609708786,13123,2538,18185,3354
9751052.pdf,4966.406363010407,296.18361830711365,29306,5859,40848,7740
9779775.pdf,2396.135555267334,120.63293290138245,8120,1535,11348,2064
9781308.pdf,1902.949477910996,165.0809347629547,14188,3121,21294,3999
9796176.pdf,920.243000984192,119.53871178627014,2791,620,6071,1032
9815254.pdf,1247.0317919254303,135.22163558006287,6650,1361,10126,1806
9902992.pdf,1945.0697858333588,129.5155384540558,10401,2146,15041,2838
9946852.pdf,1651.2606444358826,113.3976240158081,8311,1679,12212,2193
9955486.pdf,1903.588056564331,148.38639044761658,10844,2260,15014,2838
9994688.pdf,1614.11714720726,133.41350483894348,8528,1855,13558,2451
