filename,cpu_time
10005108.pdf,862.9414958953857
10018187.pdf,640.7921345233917
10032547.pdf,1018.3897292613984
10044683.pdf,1213.0126504898071
10054384.pdf,926.5438492298126
10103876.pdf,1653.798859357834
10113620.pdf,1231.8105034828186
10129176.pdf,1488.2689263820648
10131908.pdf,1228.3547892570496
10154027.pdf,1434.0393998622894
10209186.pdf,3792.53326010704
10210378.pdf,1769.5456624031067
10246861.pdf,846.4330129623413
10246952.pdf,1215.092439413071
10246954.pdf,902.449464082718
10247303.pdf,1079.2077043056488
10247528.pdf,1467.3069036006927
10251928.pdf,1068.6963334083557
10272590.pdf,1586.7860329151154
10272614.pdf,1988.149697780609
10315005.pdf,1504.7706093788147
10347209.pdf,1781.3671026229858
10348571.pdf,1731.3625268936155
10373873.pdf,1602.740875005722
10375486.pdf,3002.75336265564
10400421.pdf,3149.340813398361
10413543.pdf,2657.938446044922
10416832.pdf,1624.4412641525269
6671917.pdf,1712.204568386078
7422088.pdf,1801.57079911232
7944559.pdf,1144.096851348877
8124190.pdf,968.1888358592988
8344797.pdf,1040.4538340568542
8412183.pdf,1362.190670490265
8421226.pdf,1429.067656993866
8421576.pdf,965.371279001236
8476548.pdf,1482.011638879776
8537891.pdf,1723.2626032829285
8604143.pdf,1192.3432261943815
8606919.pdf,2095.715654850006
8642858.pdf,1734.7690975666046
8643786.pdf,2240.8878071308136
8664480.pdf,1922.644831418991
8681067.pdf,1630.7597074508667
8715406.pdf,1795.424354314804
8726288.pdf,1687.3966693878174
8782559.pdf,1265.3737337589264
8809688.pdf,1762.234137058258
8840857.pdf,1430.3227412700653
8910526.pdf,1222.3836677074432
8936376.pdf,1584.9203181266785
8937799.pdf,1114.299710035324
8955869.pdf,1119.8619031906128
9032188.pdf,1224.3398122787476
9055390.pdf,1447.367027759552
9057451.pdf,1292.4805619716644
9091541.pdf,1276.110897064209
9099835.pdf,1541.188655614853
9107114.pdf,1089.9396920204165
9137631.pdf,1326.4244475364685
9139935.pdf,2396.077110290528
9146834.pdf,2526.3820502758026
9151114.pdf,2348.6229951381683
9269966.pdf,2297.60057592392
9284441.pdf,2184.468226909637
9293302.pdf,1665.5239329338074
9298823.pdf,639.4454350471497
9303358.pdf,1577.0896162986755
9314168.pdf,1124.08202958107
9321308.pdf,1229.5905730724337
9328413.pdf,1639.6582882404327
9343307.pdf,1415.9669852256775
9380377.pdf,959.2555124759674
9382981.pdf,1243.658578872681
9456899.pdf,1594.496248960495
9483920.pdf,1094.5406839847565
9490211.pdf,2670.3173768520355
9494351.pdf,2532.0669770240784
9507422.pdf,994.6021678447725
9509431.pdf,1142.0333921909332
9528391.pdf,1253.9255585670471
9536694.pdf,1616.211591005325
9539169.pdf,1391.389261007309
9592800.pdf,1227.436143875122
9623462.pdf,3355.153664588928
9648168.pdf,1523.402370929718
9654190.pdf,1160.461262702942
9664379.pdf,1528.2387268543243
9709290.pdf,1345.495909690857
9745150.pdf,1690.222828388214
9745159.pdf,3265.32504105568
9751052.pdf,4966.406363010407
9779775.pdf,2396.135555267334
9781308.pdf,1902.9494779109957
9796176.pdf,920.243000984192
9815254.pdf,1247.0317919254303
9902992.pdf,1945.0697858333588
9946852.pdf,1651.2606444358826
9955486.pdf,1903.588056564331
9994688.pdf,1614.1171472072601
